time,buy(度),sub(度),total(度)
2026-08-23T03:00:02+00:00,76.95,0.0,76.95
2026-08-23T03:37:27+00:00,76.95,0.0,76.95
2026-08-23T04:22:18+00:00,76.95,0.0,76.95
2026-08-23T05:02:23+00:00,76.95,0.0,76.95
2026-08-23T05:41:43+00:00,76.95,0.0,76.95
2026-08-23T06:16:18+00:00,76.95,0.0,76.95
2026-08-23T07:06:55+00:00,76.95,0.0,76.95
2026-08-23T07:45:58+00:00,76.95,0.0,76.95
2026-08-23T08:12:11+00:00,76.95,0.0,76.95
2026-08-23T08:52:13+00:00,76.95,0.0,76.95
2026-08-23T09:28:04+00:00,76.95,0.0,76.95
2026-08-23T09:54:03+00:00,76.95,0.0,76.95
2026-08-23T10:25:10+00:00,76.95,0.0,76.95
2026-08-23T10:51:15+00:00,76.95,0.0,76.95
2026-08-23T11:21:38+00:00,76.95,0.0,76.95
2026-08-23T11:46:39+00:00,76.95,0.0,76.95
2026-08-23T12:02:10+00:00,76.95,0.0,76.95
2026-08-23T12:59:06+00:00,76.95,0.0,76.95
2026-08-23T13:39:07+00:00,76.95,0.0,76.95
2026-08-23T13:59:55+00:00,76.95,0.0,76.95
2026-08-23T14:32:46+00:00,76.95,0.0,76.95
2026-08-23T14:57:59+00:00,76.95,0.0,76.95
2026-08-23T15:30:01+00:00,76.95,0.0,76.95
2026-08-23T15:51:49+00:00,76.95,0.0,76.95
2026-08-23T16:27:05+00:00,76.95,0.0,76.95
2026-08-23T16:54:05+00:00,76.95,0.0,76.95
2026-08-23T17:20:48+00:00,76.95,0.0,76.95
2026-08-23T17:46:23+00:00,76.95,0.0,76.95
2026-08-23T18:01:06+00:00,76.95,0.0,76.95
2026-08-23T18:45:56+00:00,76.95,0.0,76.95
2026-08-23T19:10:25+00:00,76.95,0.0,76.95
2026-08-23T19:40:20+00:00,76.95,0.0,76.95
2026-08-23T20:00:17+00:00,76.95,0.0,76.95
2026-08-23T20:36:03+00:00,76.95,0.0,76.95
2026-08-23T20:57:45+00:00,76.95,0.0,76.95
2026-08-23T21:28:37+00:00,76.95,0.0,76.95
2026-08-23T21:50:15+00:00,76.95,0.0,76.95
2026-08-23T22:22:04+00:00,76.95,0.0,76.95
2026-08-23T22:48:41+00:00,76.95,0.0,76.95
2026-08-23T23:07:44+00:00,76.95,0.0,76.95
2026-08-23T23:34:29+00:00,76.95,0.0,76.95
2026-08-23T23:54:43+00:00,76.95,0.0,76.95
2026-08-24T01:20:25+00:00,76.95,0.0,76.95
2026-08-24T02:46:09+00:00,76.95,0.0,76.95
2026-08-24T03:40:27+00:00,76.95,0.0,76.95
2026-08-24T04:31:25+00:00,76.95,0.0,76.95
2026-08-24T05:23:31+00:00,76.95,0.0,76.95
2026-08-24T06:03:56+00:00,76.95,0.0,76.95
2026-08-24T07:17:39+00:00,76.95,0.0,76.95
2026-08-24T08:08:32+00:00,76.95,0.0,76.95
2026-08-24T09:04:06+00:00,76.95,0.0,76.95
2026-08-24T10:00:19+00:00,76.95,0.0,76.95
2026-08-24T10:50:13+00:00,76.95,0.0,76.95
2026-08-24T11:29:35+00:00,76.95,0.0,76.95
2026-08-24T11:57:28+00:00,76.95,0.0,76.95
2026-08-24T13:04:28+00:00,76.95,0.0,76.95
2026-08-24T13:59:36+00:00,76.95,0.0,76.95
2026-08-24T14:52:49+00:00,76.95,0.0,76.95
2026-08-24T15:40:09+00:00,76.95,0.0,76.95
2026-08-24T16:17:58+00:00,76.95,0.0,76.95
2026-08-24T17:00:29+00:00,76.95,0.0,76.95
2026-08-24T17:43:08+00:00,76.95,0.0,76.95
2026-08-24T18:16:35+00:00,76.95,0.0,76.95
2026-08-24T19:05:42+00:00,76.95,0.0,76.95
2026-08-24T19:41:05+00:00,76.95,0.0,76.95
2026-08-24T20:12:02+00:00,76.95,0.0,76.95
2026-08-24T20:52:32+00:00,76.95,0.0,76.95
2026-08-24T21:29:59+00:00,76.95,0.0,76.95
2026-08-24T21:56:32+00:00,76.95,0.0,76.95
2026-08-24T22:31:23+00:00,76.95,0.0,76.95
2026-08-24T22:58:55+00:00,76.95,0.0,76.95
2026-08-24T23:29:10+00:00,76.95,0.0,76.95
2026-08-24T23:50:48+00:00,76.95,0.0,76.95
2026-08-25T01:18:04+00:00,76.95,0.0,76.95
2026-08-25T02:33:24+00:00,76.95,0.0,76.95
2026-08-25T03:29:05+00:00,76.95,0.0,76.95
2026-08-25T04:18:37+00:00,76.95,0.0,76.95
2026-08-25T04:59:39+00:00,76.95,0.0,76.95
2026-08-25T05:39:57+00:00,76.95,0.0,76.95
2026-08-25T06:04:06+00:00,76.95,0.0,76.95
2026-08-25T07:05:49+00:00,76.95,0.0,76.95
2026-08-25T07:56:00+00:00,76.95,0.0,76.95
2026-08-25T08:47:33+00:00,76.95,0.0,76.95
2026-08-25T09:21:33+00:00,76.95,0.0,76.95
2026-08-25T10:01:16+00:00,76.95,0.0,76.95
2026-08-25T10:46:50+00:00,76.95,0.0,76.95
2026-08-25T11:13:15+00:00,76.95,0.0,76.95
2026-08-25T11:48:19+00:00,76.95,0.0,76.95
2026-08-25T12:18:38+00:00,76.95,0.0,76.95
2026-08-25T13:23:33+00:00,76.95,0.0,76.95
2026-08-25T14:13:27+00:00,76.95,0.0,76.95
2026-08-25T15:09:32+00:00,76.95,0.0,76.95
2026-08-25T16:00:04+00:00,76.95,0.0,76.95
2026-08-25T16:49:17+00:00,76.95,0.0,76.95
2026-08-25T17:20:00+00:00,76.95,0.0,76.95
2026-08-25T17:51:37+00:00,76.95,0.0,76.95
2026-08-25T18:40:06+00:00,76.95,0.0,76.95
2026-08-25T19:17:50+00:00,76.95,0.0,76.95
2026-08-25T19:50:02+00:00,76.95,0.0,76.95
2026-08-25T20:13:54+00:00,76.95,0.0,76.95
2026-08-25T20:50:00+00:00,76.95,0.0,76.95
2026-08-25T21:15:10+00:00,76.95,0.0,76.95
2026-08-25T21:47:49+00:00,76.95,0.0,76.95
2026-08-25T22:10:47+00:00,76.95,0.0,76.95
2026-08-25T22:48:53+00:00,76.95,0.0,76.95
2026-08-25T23:13:04+00:00,76.95,0.0,76.95
2026-08-25T23:42:35+00:00,76.95,0.0,76.95
2026-08-26T00:02:37+00:00,76.95,0.0,76.95
2026-08-26T01:56:01+00:00,76.95,0.0,76.95
2026-08-26T03:08:32+00:00,76.95,0.0,76.95
2026-08-26T04:02:24+00:00,76.95,0.0,76.95
2026-08-26T04:52:56+00:00,76.95,0.0,76.95
2026-08-26T05:35:13+00:00,76.95,0.0,76.95
2026-08-26T06:04:02+00:00,76.95,0.0,76.95
2026-08-26T07:05:58+00:00,76.95,0.0,76.95
2026-08-26T07:56:39+00:00,76.95,0.0,76.95
2026-08-26T08:50:55+00:00,76.95,0.0,76.95
2026-08-26T09:42:03+00:00,76.95,0.0,76.95
2026-08-26T10:19:58+00:00,76.95,0.0,76.95
2026-08-26T10:57:03+00:00,76.95,0.0,76.95
2026-08-26T11:35:39+00:00,76.95,0.0,76.95
2026-08-26T12:01:09+00:00,76.95,0.0,76.95
2026-08-26T13:13:04+00:00,76.95,0.0,76.95
2026-08-26T14:08:28+00:00,76.95,0.0,76.95
