time,buy(度),sub(度),total(度)
2026-08-26T15:54:11+00:00,76.95,0.0,76.95
2026-08-26T16:48:57+00:00,76.95,0.0,76.95
2026-08-26T18:31:21+00:00,76.95,0.0,76.95
2026-08-26T21:11:53+00:00,76.95,0.0,76.95
2026-08-27T00:51:36+00:00,76.95,0.0,76.95
2026-08-27T10:56:57+00:00,76.95,0.0,76.95
2026-08-27T20:56:52+00:00,76.95,0.0,76.95
2026-08-28T05:10:08+00:00,76.95,0.0,76.95
2026-08-28T15:12:13+00:00,76.95,48.0,124.95
2026-08-28T17:28:41+00:00,76.95,48.0,124.95
2026-08-29T01:07:37+00:00,76.95,48.0,124.95
2026-08-29T07:51:41+00:00,76.95,48.0,124.95
2026-08-29T13:39:30+00:00,76.95,43.61,120.56
2026-08-29T17:23:31+00:00,76.95,40.85,117.8
2026-08-29T19:55:10+00:00,76.95,39.53,116.48
2026-08-29T22:27:04+00:00,76.95,39.0,115.95
2026-08-30T00:35:52+00:00,76.95,38.91,115.86
2026-08-30T05:47:43+00:00,76.95,33.73,110.68
2026-08-30T10:43:49+00:00,76.95,30.48,107.43
2026-08-30T15:03:41+00:00,76.95,27.49,104.44
2026-08-30T18:36:40+00:00,76.95,25.27,102.22
2026-08-30T21:32:49+00:00,76.95,23.96,100.91
