time,buy(度),sub(度),total(度)
2026-08-22T17:22:07+00:00,24.2,0.0,24.2
2026-08-22T17:50:30+00:00,23.69,0.0,23.69
2026-08-22T18:31:19+00:00,23.05,0.0,23.05
2026-08-22T19:01:58+00:00,22.6,0.0,22.6
2026-08-22T19:32:12+00:00,22.12,0.0,22.12
2026-08-22T19:53:34+00:00,21.82,0.0,21.82
2026-08-22T20:23:34+00:00,21.34,0.0,21.34
2026-08-22T20:49:29+00:00,20.98,0.0,20.98
2026-08-22T21:08:42+00:00,20.67,0.0,20.67
2026-08-22T21:34:52+00:00,20.28,0.0,20.28
2026-08-22T21:55:04+00:00,20.01,0.0,20.01
2026-08-22T22:22:34+00:00,19.58,0.0,19.58
2026-08-22T22:48:54+00:00,19.36,0.0,19.36
2026-08-22T23:08:01+00:00,19.19,0.0,19.19
2026-08-22T23:34:14+00:00,19.06,0.0,19.06
2026-08-22T23:54:37+00:00,19.0,0.0,19.0
2026-08-23T01:22:25+00:00,18.8,0.0,18.8
2026-08-23T02:30:06+00:00,18.57,0.0,18.57
2026-08-23T02:46:20+00:00,18.57,0.0,18.57
2026-08-23T02:59:52+00:00,18.45,0.0,18.45
2026-08-23T03:37:27+00:00,18.42,0.0,18.42
2026-08-23T04:22:18+00:00,17.62,0.0,17.62
2026-08-23T05:02:23+00:00,17.01,0.0,17.01
2026-08-23T05:41:43+00:00,16.58,0.0,16.58
2026-08-23T06:16:18+00:00,16.21,0.0,16.21
2026-08-23T07:06:55+00:00,15.29,0.0,15.29
2026-08-23T07:45:58+00:00,14.51,0.0,14.51
2026-08-23T08:12:11+00:00,14.17,0.0,14.17
2026-08-23T08:52:13+00:00,13.91,0.0,13.91
2026-08-23T09:28:04+00:00,13.74,0.0,13.74
2026-08-23T09:54:03+00:00,13.65,0.0,13.65
2026-08-23T10:25:10+00:00,13.49,0.0,13.49
2026-08-23T10:51:15+00:00,13.37,0.0,13.37
2026-08-23T11:21:38+00:00,13.25,0.0,13.25
2026-08-23T11:46:39+00:00,13.25,0.0,13.25
2026-08-23T12:02:10+00:00,13.05,0.0,13.05
2026-08-23T12:59:06+00:00,12.83,0.0,12.83
2026-08-23T13:39:07+00:00,12.46,0.0,12.46
2026-08-23T13:59:55+00:00,12.35,0.0,12.35
2026-08-23T14:32:46+00:00,12.16,0.0,12.16
2026-08-23T14:57:59+00:00,12.01,0.0,12.01
2026-08-23T15:30:01+00:00,11.84,0.0,11.84
