time,buy(度),sub(度),total(度)
2026-08-23T15:51:49+00:00,11.73,0.0,11.73
2026-08-23T16:27:05+00:00,11.48,0.0,11.48
2026-08-23T16:54:05+00:00,11.25,0.0,11.25
2026-08-23T17:20:48+00:00,11.04,0.0,11.04
2026-08-23T17:46:23+00:00,10.91,0.0,10.91
2026-08-23T18:01:06+00:00,10.85,0.0,10.85
2026-08-23T18:45:56+00:00,10.79,0.0,10.79
2026-08-23T19:10:25+00:00,10.71,0.0,10.71
2026-08-23T19:40:20+00:00,10.61,0.0,10.61
2026-08-23T20:00:17+00:00,10.61,0.0,10.61
2026-08-23T20:36:03+00:00,10.52,0.0,10.52
2026-08-23T20:57:45+00:00,10.52,0.0,10.52
2026-08-23T21:28:37+00:00,10.51,0.0,10.51
2026-08-23T21:50:15+00:00,10.28,0.0,10.28
2026-08-23T22:22:04+00:00,10.28,0.0,10.28
2026-08-23T22:48:41+00:00,10.02,0.0,10.02
2026-08-23T23:07:44+00:00,9.99,0.0,9.99
2026-08-23T23:34:29+00:00,9.99,0.0,9.99
2026-08-23T23:54:43+00:00,9.85,0.0,9.85
2026-08-24T01:20:25+00:00,57.24,0.0,57.24
2026-08-24T02:46:09+00:00,56.94,0.0,56.94
2026-08-24T03:40:27+00:00,56.73,0.0,56.73
2026-08-24T04:31:25+00:00,56.47,0.0,56.47
2026-08-24T05:23:31+00:00,56.24,0.0,56.24
2026-08-24T06:03:56+00:00,55.89,0.0,55.89
2026-08-24T07:17:39+00:00,54.75,0.0,54.75
2026-08-24T08:08:32+00:00,53.68,0.0,53.68
2026-08-24T09:04:06+00:00,52.73,0.0,52.73
2026-08-24T10:00:19+00:00,52.37,0.0,52.37
2026-08-24T10:50:13+00:00,52.15,0.0,52.15
2026-08-24T11:29:35+00:00,52.0,0.0,52.0
2026-08-24T11:57:28+00:00,51.87,0.0,51.87
2026-08-24T13:04:28+00:00,51.51,0.0,51.51
2026-08-24T13:59:36+00:00,51.17,0.0,51.17
2026-08-24T14:52:49+00:00,50.8,0.0,50.8
2026-08-24T15:40:09+00:00,50.47,0.0,50.47
2026-08-24T16:17:58+00:00,50.25,0.0,50.25
2026-08-24T17:00:29+00:00,49.88,0.0,49.88
2026-08-24T17:43:08+00:00,49.63,0.0,49.63
2026-08-24T18:16:35+00:00,49.52,0.0,49.52
2026-08-24T19:05:42+00:00,49.37,0.0,49.37
2026-08-24T19:41:05+00:00,49.27,0.0,49.27
2026-08-24T20:12:02+00:00,49.19,0.0,49.19
2026-08-24T20:52:32+00:00,49.08,0.0,49.08
2026-08-24T21:29:59+00:00,48.98,0.0,48.98
2026-08-24T21:56:32+00:00,48.97,0.0,48.97
2026-08-24T22:31:23+00:00,48.89,0.0,48.89
2026-08-24T22:58:55+00:00,48.82,0.0,48.82
2026-08-24T23:29:10+00:00,48.73,0.0,48.73
2026-08-24T23:50:48+00:00,48.73,0.0,48.73
2026-08-25T01:18:04+00:00,48.01,0.0,48.01
2026-08-25T02:33:24+00:00,47.3,0.0,47.3
2026-08-25T03:29:05+00:00,47.03,0.0,47.03
2026-08-25T04:18:37+00:00,46.84,0.0,46.84
2026-08-25T04:59:39+00:00,46.62,0.0,46.62
2026-08-25T05:39:57+00:00,46.24,0.0,46.24
2026-08-25T06:04:06+00:00,46.15,0.0,46.15
2026-08-25T07:05:49+00:00,45.93,0.0,45.93
2026-08-25T07:56:00+00:00,45.76,0.0,45.76
2026-08-25T08:47:33+00:00,45.4,0.0,45.4
2026-08-25T09:21:33+00:00,44.63,0.0,44.63
2026-08-25T10:01:16+00:00,43.63,0.0,43.63
2026-08-25T10:46:50+00:00,42.83,0.0,42.83
2026-08-25T11:13:15+00:00,42.56,0.0,42.56
2026-08-25T11:48:19+00:00,42.33,0.0,42.33
2026-08-25T12:18:38+00:00,42.15,0.0,42.15
2026-08-25T13:23:33+00:00,41.7,0.0,41.7
2026-08-25T14:13:27+00:00,41.35,0.0,41.35
2026-08-25T15:09:32+00:00,40.96,0.0,40.96
2026-08-25T16:00:04+00:00,40.72,0.0,40.72
2026-08-25T16:49:17+00:00,40.72,0.0,40.72
2026-08-25T17:20:00+00:00,39.73,0.0,39.73
2026-08-25T17:51:37+00:00,39.73,0.0,39.73
2026-08-25T18:40:06+00:00,39.44,0.0,39.44
2026-08-25T19:17:50+00:00,39.33,0.0,39.33
2026-08-25T19:50:02+00:00,39.23,0.0,39.23
2026-08-25T20:13:54+00:00,39.17,0.0,39.17
2026-08-25T20:50:00+00:00,39.08,0.0,39.08
2026-08-25T21:15:10+00:00,38.99,0.0,38.99
2026-08-25T21:47:49+00:00,38.9,0.0,38.9
2026-08-25T22:10:47+00:00,38.85,0.0,38.85
2026-08-25T22:48:53+00:00,38.76,0.0,38.76
2026-08-25T23:13:04+00:00,38.74,0.0,38.74
2026-08-25T23:42:35+00:00,38.64,0.0,38.64
2026-08-26T00:02:37+00:00,38.57,0.0,38.57
2026-08-26T01:56:01+00:00,37.9,0.0,37.9
2026-08-26T03:08:32+00:00,36.69,0.0,36.69
2026-08-26T04:02:24+00:00,35.74,0.0,35.74
2026-08-26T04:52:56+00:00,35.01,0.0,35.01
2026-08-26T05:35:13+00:00,34.42,0.0,34.42
2026-08-26T06:04:02+00:00,33.99,0.0,33.99
2026-08-26T07:05:58+00:00,33.79,0.0,33.79
2026-08-26T07:56:39+00:00,33.63,0.0,33.63
2026-08-26T08:50:55+00:00,33.46,0.0,33.46
2026-08-26T09:42:03+00:00,33.12,0.0,33.12
2026-08-26T10:19:58+00:00,32.91,0.0,32.91
2026-08-26T10:57:03+00:00,32.81,0.0,32.81
2026-08-26T11:35:39+00:00,31.94,0.0,31.94
2026-08-26T12:01:09+00:00,31.45,0.0,31.45
2026-08-26T13:13:04+00:00,30.69,0.0,30.69
2026-08-26T14:08:28+00:00,30.44,0.0,30.44
2026-08-26T15:54:11+00:00,28.43,0.0,28.43
2026-08-26T16:48:57+00:00,27.82,0.0,27.82
2026-08-26T18:31:21+00:00,27.48,0.0,27.48
2026-08-26T21:11:53+00:00,26.43,0.0,26.43
2026-08-27T00:51:36+00:00,25.16,0.0,25.16
2026-08-27T10:56:57+00:00,17.72,0.0,17.72
2026-08-27T20:56:52+00:00,15.18,0.0,15.18
2026-08-28T05:10:08+00:00,12.78,0.0,12.78
2026-08-28T15:12:13+00:00,12.72,40.92,53.64
2026-08-28T17:28:41+00:00,12.72,38.46,51.18
2026-08-29T01:07:37+00:00,12.72,35.96,48.68
2026-08-29T07:51:41+00:00,12.72,33.03,45.75
2026-08-29T13:39:30+00:00,12.72,29.54,42.26
2026-08-29T17:23:31+00:00,12.72,27.95,40.67
2026-08-29T19:55:10+00:00,12.72,27.46,40.18
2026-08-29T22:27:04+00:00,12.72,26.99,39.71
2026-08-30T00:35:52+00:00,12.72,26.62,39.34
2026-08-30T05:47:43+00:00,12.72,24.39,37.11
2026-08-30T10:43:49+00:00,12.72,22.16,34.88
2026-08-30T15:03:41+00:00,12.72,20.55,33.27
2026-08-30T18:36:40+00:00,12.72,19.04,31.76
2026-08-30T21:32:49+00:00,12.72,18.81,31.53
2026-08-31T01:46:49+00:00,12.72,18.43,31.15
2026-08-31T07:43:30+00:00,12.72,17.4,30.12
2026-08-31T15:31:33+00:00,12.72,15.1,27.82
2026-08-31T21:04:35+00:00,12.72,13.58,26.3
2026-09-01T00:35:45+00:00,12.72,13.39,26.11
2026-09-01T05:38:48+00:00,12.72,12.91,25.63
2026-09-01T10:27:50+00:00,12.72,12.35,25.07
2026-09-01T15:07:15+00:00,12.72,10.89,23.61
2026-09-01T18:28:02+00:00,12.72,10.67,23.39
2026-09-01T21:15:47+00:00,12.72,10.52,23.24
2026-09-01T23:22:20+00:00,12.72,10.4,23.12
2026-09-02T01:14:44+00:00,12.72,10.29,23.01
2026-09-02T05:54:43+00:00,12.72,9.61,22.33
2026-09-02T14:44:54+00:00,12.72,7.55,20.27
2026-09-02T18:08:43+00:00,12.72,6.43,19.15
2026-09-02T21:02:24+00:00,12.72,6.23,18.95
2026-09-02T23:17:19+00:00,12.72,6.12,18.84
2026-09-03T01:12:00+00:00,12.72,6.03,18.75
2026-09-03T05:54:31+00:00,12.72,5.49,18.21
2026-09-03T10:48:46+00:00,12.72,4.71,17.43
2026-09-03T14:44:51+00:00,12.72,3.73,16.45
2026-09-03T18:08:14+00:00,12.72,2.41,15.13
2026-09-03T21:00:18+00:00,12.72,1.99,14.71
2026-09-03T23:15:03+00:00,12.72,1.78,14.5
2026-09-04T01:03:37+00:00,12.72,1.61,14.33
2026-09-04T05:50:28+00:00,12.72,0.8,13.52
